Modelo,Accuracy ↑,ROC-AUC ↑,F1 ↑,"|Corr(pred, género)| ↓",Brecha paridad ↓
Custom (BCE),0.6941,0.7383,0.255,0.2227,0.0891
Custom + FAIR (lambda=0.2),0.6971,0.7352,0.2536,0.063,0.0248
